CCF ID,DOMAIN,NAME,Description,CIS Appliclibity,CIS ref
AM-01,Asset Management,Inventory Management,"Organization maintains an inventory of information systems, which is reconciled on a periodic basis.",X,"1.1
6.6"
AM-02,Asset Management,Inventory Management: Applications,"Organization maintains an inventory of application assets, which is reconciled on a periodic basis.",X,"1.1
6.6"
AM-03,Asset Management,Inventory Reconciliation: ARP Table,Organization reconciles network discovery scans against the established device inventory on a quarterly basis; non-inventoried devices are assigned an owner.,X,"1.2
1.3
1.5"
AM-04,Asset Management,Inventory Reconciliation: Logging,Organization reconciles the enterprise log repository against the established device inventory on a quarterly basis; non-inventoried devices are assigned an owner.,X,1.4
AM-05,Asset Management,Inventory Labels,Organization assets are labeled and have designated owners.,X,1.1
AM-06,Asset Management,Media Marking,"Where applicable, Organization marks information system media indicating the distribution limitations, handling caveats, and applicable security markings (if any) of the information. Exemptions must be approved by management and remain in a specific controlled area.",,
AM-07,Asset Management,Asset Transportation Authorization,Organization authorizes and records the entry and exit of systems at datacenter locations.,,
AM-08,Asset Management,Asset Transportation Documentation,"Organization documents the transportation of physical media outside of datacenters. Physical media is packaged securely and transported in a secure, traceable manner.",,
AM-09,Asset Management,Use of Portable Media,The use of portable media in Organization datacenters is prohibited unless explicitly authorized by management.,,
AM-10,Asset Management,Maintenance of Assets,Equipment maintenance is documented and approved according to management requirements.,,
AM-11,Asset Management,Tampering of Payment Card Capture Devices,Devices that physically capture payment card data are inspected for evidence of tampering on a semi-annual basis.,,
AM-12,Asset Management,Component Installation: Inspection and Approval,"Prior to installation in a production network, hardware components are inspected for improper or unauthorized modifications.",X,4.2
AM-13,Asset Management,Software bill of Material,Organization maintains a comprehensive software bill of materials,,
BC-01,Business Continuity,Business Continuity Plan,"Organization's business contingency plan is periodically reviewed, approved by management and communicated to relevant team members.",,
BC-02,Business Continuity,Business Continuity Plan: Personal Health Information,Organization's Business Contingency Plan addresses how to access facilities and obtain data during an emergency.,,
BC-03,Business Continuity,Business Continuity Plan: Roles and Responsibilities,Business contingency roles and responsibilities are assigned to individuals and their contact information is communicated to authorized personnel.,,
BC-04,Business Continuity,Continuity Testing,"Organization performs business contingency and disaster recovery tests on a periodic basis and ensures the following: 
• tests are executed with relevant contingency teams
• test results are documented
• corrective actions are taken for exceptions noted
• plans are updated based on results",,
BC-05,Business Continuity,Business Impact Analysis,"Organization identifies the business impact of relevant threats to assets, infrastructure, and resources that support critical business functions. Recovery objectives are established for critical business functions.",,
BC-06,Business Continuity,Capacity Forecasting,Budgets for infrastructure capacity are established based on analysis of historical business activity and growth projections; purchases are made against the established budget and plans are updated on a quarterly basis.,,
BM-01,Backup Management,Backup Configuration,Organization configures redundant systems or performs periodic backups of data to resume system operations in the event of a system failure.,X,11.2
BM-02,Backup Management,Resilience Testing,Organization performs annual backup restoration or data replication tests to confirm the reliability and integrity of system backups or recovery operations.,X,"11.1
11.3
11.5"
BM-03,Backup Management,Backup Failure Review,Failed backup jobs are periodically reviewed and resolved in a timely manner.,X,"11.1
11.5"
BM-04,Backup Management,Alternate Storage,Organization backups are securely stored in an alternate location from source data.,X,11.4
BM-05,Backup Management,Alternate Telecommunication,Alternate telecommunication service agreements have been established to resume business when the primary service gets disrupted. Service agreements contain priority of service provisions.,,
CFM-01,Configuration Management,Baseline Configuration Standard,Organization ensures security hardening and baseline configuration standards have been established according to industry standards and are reviewed and updated periodically.,X,"4.1
4.2
16.7"
CFM-02,Configuration Management,"Default ""Deny-all"" Settings","Where applicable, the information system default access configurations are set to ""deny-all.""",X,4.5
CFM-03,Configuration Management,Remote Access: Prohibited Protocols and Commands,Organization defines a listing of prohibited user commands and prohibited protocols that can be used in a remote session.,X,13.5
CFM-04,Configuration Management,Data Execution Prevention,Organization ensures data execution prevention (DEP) security features are enabled on production hosts to restrict code execution within memory.,X,10.5
CFM-05,Configuration Management,Client Run Time Technologies,Organization disables prohibited client run time technologies on information systems.,X,9.4
CFM-06,Configuration Management,Prohibited Activity Monitoring,Organization information systems are configured to explicitly deny a predefined list of activities.,,
CFM-07,Configuration Management,Configuration Checks,Organization uses mechanisms to detect deviations from baseline configurations on production environments.,,
CFM-08,Configuration Management,Configuration Check Reconciliation: Logging,Organization reconciles the established device inventory against the enterprise log repository on a quarterly basis; devices which do not forward security configurations are remediated.,,
CFM-09,Configuration Management,Time Clock Synchronization,Systems are configured to synchronize information system time clocks based on International Atomic Time or Coordinated Universal Time (UTC).,X,8.4
CFM-10,Configuration Management,Time Clock Configuration Access,Access to modify time data is restricted to authorized personnel.,,
CFM-11,Configuration Management,Default Device Passwords,Vendor-supplied default passwords are changed according to Organization standards prior to device installation on the Organization network or immediately after software or operating system installation.,,
CFM-12,Configuration Management,Process Isolation,Organization implements only one primary function per server within the production environment; the information system maintains a separate execution domain for each executing process.,X,12.8
CFM-13,Configuration Management,Collaborative Devices,"Where applicable, collaborative computing devices used at Organization are configured to restrict remote activation and provide an explicit indication that they are in use.",X,12.8
CFM-14,Configuration Management,Software Installation,Installation of software or programs in the production environment is approved by authorized personnel.,X,"2.4
2.5
2.6"
CFM-15,Configuration Management,Job Schedules,"Schedule changes or the modifications of production jobs require:
• documented approval from authorized personnel
• documented monitoring details",,
CHM-01,Change Management,Change Management Workflow,"Change scope, change type, and roles and responsibilities are pre-established and documented in a change control workflow; notification and approval requirements are also pre-established based on risk associated with change scope and type.",,
CHM-02,Change Management,Change Approval,"Prior to introducing changes into the production environment, approval from authorized personnel is required based on the following:
• change description
• impact of change
• test results
• back-out plan",,
CHM-03,Change Management,Segregation of Duties,Changes to the production environment are implemented by authorized personnel. ,,
CHM-04,Change Management,Communication of Maintenance and Downtime,Customer-impacting product and system changes are publicly communicated on the company website.,,
CMS-01,Customer Managed Security,Customer Administrative Access,"For products that enable customers to manage their end users, privileged user roles exist with the capability to manage end user access to the relevant applications.",,
CMS-02,Customer Managed Security,Customer Authentication,Authentication to organization customer-facing applications are  performed through secure log-on procedures.,,
CMS-03,Customer Managed Security,Customer Systems Monitoring,"As necessary, event logs are made available to customers.",,
CMS-04,Customer Managed Security,Customer Security Engagements,"Organization supports customer-requested security inquiries, questionnaires, and audits:
• in accordance with customer contracts and agreements
• to facilitate due diligence prior to licensing organization products",,
CRY-01,Cryptography,Encryption Key Maintenance,Cryptographic keys are invalidated when compromised or at the end of their defined lifecycle period.,,
CRY-02,Cryptography,Encryption Key Distribution,Organization prohibits the distribution of cryptographic keys in clear text.,,
CRY-03,Cryptography,Encryption Key Storage,Encryption keys are securely stored in an approved encryption platform.,,
CRY-04,Cryptography,Clear Text Key Management,"If applicable, manual clear-text cryptographic key-management operations must be managed using split knowledge and dual control.",,
CRY-05,Cryptography,Encryption of Data in Transit,Organization restricted data that is transmitted over public networks is encrypted.,X,3.10
CRY-06,Cryptography,Encryption of Data at Rest,Organization restricted data at rest is encrypted.,X,"3.11
11.3"
CRY-07,Cryptography,Approved Cryptographic Technology,"Where applicable, strong industry standard cryptographic ciphers and keys with an effective strength greater than 112 bits are required for cryptographic security operations.",X,3.11
CRY-08,Cryptography,Key Repository Access,Access to the cryptographic keystores is limited to authorized personnel.,,
CRY-09,Cryptography,Key Store Review,Management reviews and authorizes key store locations.,,
CRY-10,Cryptography,Full Disk Encryption Access,"Where full disk encryption is used, logical access must be managed independently of operating system authentication; decryption keys must not be associated with user accounts.",,
CRY-11,Cryptography,Key Custodians Agreement,Cryptographic Key Custodians and Cryptographic Materials Custodians (CMC) acknowledge in writing or electronically that they understand and accept their cryptographic-key-custodian responsibilities.,,
CRY-12,Cryptography,Approved Certificate Authorities,Organization restricts the use of digital certificates to those that are signed by approved certificate authorities; a certification path to an accepted trust anchor is established.,,
CRY-13,Cryptography,Installation of Software: Certificate Verification,Digital Certificates are verified by information system components prior to installation on the production network.,,
CRY-14,Cryptography,Public Key Infrastructure-based Authentication,"Information systems are configured to follow an established certification path to an accepted trust anchor; in the case of network failure, a local cache of revocation data is maintained to support validation.",,
CRY-15,Cryptography,Software Signing,Organization uses a software signing infrastructure to restrict access to organization’s code signing private keys used to sign organization authorized software builds.,X,2.7
DM-01,Data Management,Data Classification Criteria,"Organization's data classification criteria are periodically reviewed, approved by management, and communicated to authorized personnel; the data security management team determines the treatment of data according to its designated data classification level.",X,"3.1
3.7"
DM-02,Data Management,Data Inventory,"Organization should identify, label and classify Data based on the Data Classification Criteria.",X,"3.1
3.7"
DM-03,Data Management,Terms of Service,Consent is obtained for Organization's Terms of Service (ToS) prior to collecting personal information and when the ToS is updated.,,
DM-04,Data Management,Personal Information Access Requests,"In accordance with Organization policy, upon request, authenticated individuals are provided with a copy of their personal information or disclosures of their personal information in an understandable form and within the defined timeframe.",,
DM-05,Data Management,Personal Information Deletion Requests,"In accordance with Organization policy, Organization processes requests for the deletion of personal information.",,
DM-06,Data Management,External Privacy Inquiries,"In compliance with Organization policy, Organization reviews privacy-related inquiries, complaints, and disputes.",,
DM-07,Data Management,Test Data Sanitization,Restricted data is redacted prior to use in a non-production environment.,,
DM-08,Data Management,Personal Information Updates,Organization allows authenticated users to review and update their personal information.,,
DM-09,Data Management,Credit Card Data Restrictions,"Organization does not store full track credit card data, credit card authentication information, credit card verification code, or credit personal identification number (PIN) which Organization processes for payment.",,
DM-10,Data Management,Primary Account Number Data Restrictions,Organization restricts primary account number (PAN) data such that only the first six and last four digits are displayed; authorized users with a legitimate business need may be provided the full PAN.,,
DM-11,Data Management,Personal Information Inventory,Organization maintains a documented inventory of media containing personal information.,X,3.2
DM-12,Data Management,Changes to Data at Rest,Organization uses mechanisms to detect direct changes to the integrity of customer data and personal information; Organization takes action to resolve confirmed unauthorized changes to data.,X,3.12
DM-13,Data Management,Data Processing Integrity,System checks are in place to ensure both complete and accurate capture of data in process.,X,3.12
DM-14,Data Management,Secure Disposal of Media,Organization securely erases media containing decommissioned restricted data and obtains a certificate or log of erasure; media pending erasure are stored within a secured facility.,X,3.5
DM-15,Data Management,Customer Data Retention and Deletion,Organization purges or archives data according to customer requests or legal and regulatory mandates.,X,3.5
DM-16,Data Management,Removal of PHI from Media,Organization removes electronic protected health information from electronic media if the media is made available for re-use.,,
DM-17,Data Management,Secure Disposal of Media: Testing,Organization tests sanitization procedures and equipment annually for effectiveness.,,
DM-18,Data Management,Personal Information Retention and Deletion,Organization retains and deletes personal information from Organization and service provider systems in accordance with Organization policy.,X,"3.4
15.7"
DM-19,Data Management,Temporary Storage of Personal Information,Temporary files and documents containing personal information are deleted in accordance with a timeframe consistent with Organization policy.,,
DM-20,Data Management,Social Media,"Sharing Organization restricted data via messaging technologies, social media, and public websites is prohibited.",,
DM-21,Data Management,Publicly Accessible Content,"Organization protects its public information system presence with the following processes: only authorized and trained individuals may post public information, content is reviewed prior to publishing, information on public systems is reviewed periodically, and non-public information is removed from public systems upon discovery.",,
DM-22,Data Management,Data Loss Prevention,"Data loss prevention capabilities are implemented to protect sensitive information as it is stored, transmitted, and processed.",X,3.13
EM-01,Entity Management,Board of Directors Structure and Purpose,"The Board of Directors provides corporate oversight, strategic direction, and review of management for Organization. The Board of Directors meets at least quarterly and has 3 sub-committees: 
• Audit Committee
• Executive Compensation and Nominating Committee
• Governance Committee",,
EM-02,Entity Management,Audit Committee,"The Audit Committee is governed by a Charter, is independent from Organization Management, composed of outside directors (Industry Experts), and meets quarterly. The Audit Committee oversees: 
•Financial Statement Quality 
•Enterprise Risk Management
•Regulatory & Legal Compliance
•Internal Audit Functions
•Information Security Functions
•External Audit Functions",,
EM-03,Entity Management,Organizational Structure,Organization Management ensures that its organization is aligned with the corporate strategy by assigning key managers with responsibilities to execute the corporate strategy.,,
EM-04,Entity Management,Operating Plans,"Annual operating plans are aligned with Corporate Objectives, which are established on an annual basis during the Company's planning process. Priorities are set and plans are communicated appropriately.",,
EM-05,Entity Management,Cyber Security Insurance,Organization purchases cyber security insurance to mitigate risk of material financial impact that could result from a cyber security event.,,
EM-06,Entity Management,Internal Audit Function,"Quarterly, the Chief Audit Executive meets with the Audit Committee to review key risk issues. The Audit Committee approves the annual Internal Audit Plan. Results of quarterly audits and subsequent issue tracking summaries are presented to the Audit Committee.",,
EM-07,Entity Management,Financial Control Review,Internal financial control assessment results are reported to the Audit Committee by the Chief Audit Executive on a quarterly basis and support the CEO/CFO 302/404 certifications.,,
EM-08,Entity Management,Information Security Function,"Quarterly, the Chief Security Officer meets with the Audit Committee to review key Information Security issues. Results of continuous monitoring activities and current security compliance status are presented to the Audit Committee and the Board of Directors.",,
EM-09,Entity Management,Information Security Compliance Review,Information Security compliance results are reported to the Audit Committee by the Chief Security Officer on a quarterly basis and support information security compliance certifications,,
EM-10,Entity Management,Common Controls Framework,"Organization maintains a Common Control Framework (CCF) that is used in the implementation of control measures as a risk mitigation strategy to support organization operations, technology infrastructure, and security management activities.",,
EM-11,Entity Management,Service Agreement,"When customers sign-up for Organization’s product and services, the customer is required to acknowledge a service agreement which includes considerations for protecting security, availability, confidentiality and indicates the responsibilities of the users and organization’s responsibilities and commitments.",,
IAM-01,Identity and Access Management,Logical Access Provisioning,Logical access provisioning to information systems requires approval from appropriate personnel.,X,"5.6
6.1
6.7"
IAM-02,Identity and Access Management,Change of Access Notification,Changes made to system access trigger a notification that is sent to designated personnel.,X,3.14
IAM-03,Identity and Access Management,Logical Access De-provisioning,"Logical access that is no longer required in the event of a termination is documented, communicated to management, and revoked.",X,"6.2
15.7"
IAM-04,Identity and Access Management,Logical Access De-provisioning: Notification,The People Resources system sends a notification to relevant personnel in the event of a termination of an information system user.,X,6.2
IAM-05,Identity and Access Management,Logical Access Review,Organization performs account and access reviews on a quarterly basis; corrective action is taken where applicable.,X,"5.1
5.3
5.5
6.8"
IAM-06,Identity and Access Management,Role Change: Access De-provisioning,"Upon notification of an employee reassignment or transfer, management reviews the employee's access for appropriateness. Access that is no longer required is revoked and documented.",X,6.2
IAM-07,Identity and Access Management,Shared Logical Accounts,Organization restricts the use of shared and group authentication credentials. Authentication credentials for shared and group accounts are reset every 90 days.,,
IAM-08,Identity and Access Management,Shared Logical Accounts: Group Member ,Passwords for shared and group accounts are reset when a member of the shared group leaves.,,
IAM-09,Identity and Access Management,Shared Account Restrictions,"Where applicable, the use of generic and shared accounts to administer systems or perform critical functions is prohibited; generic user IDs are disabled or removed.",X,4.7
IAM-10,Identity and Access Management,Role Change: People Resources Notification,The People Resources system sends a notification to relevant management and relevant information system administrators in the event of an employee reassignment or transfer of an information system user.,X,6.1
IAM-11,Identity and Access Management,Temporary Account Termination,Temporary and emergency accounts are automatically terminated 90 days from the date they are generated.,,
IAM-12,Identity and Access Management,Unique Identifiers,Organization requires unique identifiers for user accounts and prevents identifier reuse.,X,3.14
IAM-13,Identity and Access Management,Password Authentication,User and device authentication to privileged information systems is protected by passwords that meet Organization's password complexity requirements.,,
IAM-14,Identity and Access Management,Multifactor Authentication,"Multi-factor authentication is required for:
• remote VPN sessions
• access to trusted data environments",X,"5.2
6.3
6.4
6.5
13.5"
IAM-15,Identity and Access Management,Authentication Credential Maintenance,Authorized personnel verify the identity of users before modifying authentication credentials on their behalf.,,
IAM-16,Identity and Access Management,Session Timeout,Information systems are configured to terminate inactive sessions after 15 minutes or when the user terminates the session.,X,4.3
IAM-17,Identity and Access Management,Session Limit,Information systems are configured to limit concurrent login sessions and the inactive user interface is not displayed when the session is terminated.,,
IAM-18,Identity and Access Management,Account Lockout: Cardholder Data Environments,"Users are locked out of information systems after 6 invalid attempts for a minimum of 30 minutes, or until an administrator enables the user ID.",X,4.10
IAM-19,Identity and Access Management,Account Lockout,"Users are locked out of information systems after multiple, consecutive invalid attempts within a defined period; accounts remain locked for a defined period.",X,4.10
IAM-20,Identity and Access Management,Login Banner,"Systems leveraged by the U.S. Federal Government present a login screen that displays the following language:
• users are accessing a U.S. Government information system
• system usage may be monitored, recorded, and subject to audit
• unauthorized use of the system is prohibited and subject to criminal and civil penalties
• use of the system indicates consent to monitoring and recording",,
IAM-21,Identity and Access Management,Credentials Validation,"Organization systems utilize Federal Identity, Credential, and Access Management (FICAM) components and conform to FICAM-issued profiles; systems verify and accept the following external credentials:
• personal Identity Verification (PIV) credentials from federal agencies, and
• FICAM-approved credentials from non-federal third-parties
",,
IAM-22,Identity and Access Management,Password Authentication Standard: Federal Systems,"Organization information systems obscure feedback of authentication information during the authentication process (e.g., the system does not disclose error information such as ""'user1' is not a valid username"") and have the following password requirements:
• minimum of 12 characters
• contains at least one upper-case letter, lower-case letter, number, and a special character
• at least one of the characters is changed when the new passwords are created.
• the password life span is between 1 to 60 days
• password reuse is prohibited for 24 generations
• only allow the use of temporary password system logons with an immediate change to a permanent password",X,5.2
IAM-23,Identity and Access Management,Privileged Session Management,Privileged logical access to trusted data environments is enabled through an authorized session manager; session user activity is recorded and tunnelling to untrusted data environments is restricted.,X,"3.3
3.14
5.4"
IAM-24,Identity and Access Management,Zero Trust Enterprise Network,Organization users are authenticated against a Zero Trust model prior to gaining access to organization resources.,,
IAM-25,Identity and Access Management,Logical Access Role Permission Authorization,"Initial permission definitions, and changes to permissions, associated with logical access roles are approved by authorized personnel.",X,"6.1
6.8"
IAM-26,Identity and Access Management,Source Code Security,Access to modify source code is restricted to authorized personnel.,,
IAM-27,Identity and Access Management,Service Account Restrictions,"Individual user or administrator use of service accounts for O/S, applications, and databases is prohibited.",,
IAM-28,Identity and Access Management,PCI Account Restrictions,"Organization clients with access to the cardholder data environment (CDE), as users or processes, are assigned unique accounts that cannot modify shared binaries or access data, server resources, or scripts owned by another CDE or Organization; application processes are restricted from operating in privileged-mode.",,
IAM-29,Identity and Access Management,Least Privilege,Role-based access is defined and deployed to restrict privileged access to information resources based on the concept of least privilege.,X,"3.3
5.4
6.8
12.2"
IAM-30,Identity and Access Management,Virtual Private Network,Remote connections to the corporate network are accessed via VPN through managed gateways.,X,"12.7
13.5"
IAM-31,Identity and Access Management,Virtual Private Network: Restrict Split-Tunneling,VPN configurations restrict split-tunneling capabilities.,,
IAM-32,Identity and Access Management,Ability to Disable Remote Sessions,Organization has a defined process and mechanisms in place to expeditiously disable or disconnect remote access to information systems within a defined time frame based on business need.,X,13.5
IAM-33,Identity and Access Management,Remote Maintenance: Authentication Sessions,"Vendor accounts used for remote access are enabled only during the time period needed, disabled when not in use, and monitored while in use.",X,13.5
IAM-34,Identity and Access Management,Remote Maintenance: Unique Authentication Credentials for each Customer,"Where applicable, Service providers with remote access to customer premises (e.g., for support of POS systems or servers) must use a unique authentication credential (such as a password/phrase) for each customer.",,
IAM-35,Identity and Access Management,Remote Maintenance: Authentication,"Remote maintenance and diagnostic tool utilization are restricted to the minimum required level, strong authentication is required, and remote sessions are recorded. ",,
IAM-36,Identity and Access Management,Remote Maintenance: Audit,"Organization documents and maintains records for vendor remote maintenance, diagnostic activities, and permissions granted. A listing of vendor remote maintenance connections is documented as well.",,
IAM-37,Identity and Access Management,End-user Environment Segmentation,"Where applicable, processes that run as part of an Organization shared hosting platform will run under unique credentials that permit access to only one customer environment.",,
IAM-38,Identity and Access Management,End-user Access to Applications and Data,"Organization applications secure user data and maintain confidentiality by default or according to permissions set by the individual; Organization authenticates individuals with unique identifiers and passwords prior to enabling access to: 
• use the application 
• view or modify their own data",,
IAM-39,Identity and Access Management,Hardware Tokens,"Where applicable, hardware token-based authentication is facilitated only by approved organizations.",,
IR-01,Incident Response,Incident Response Plan,"Organization defines the types of incidents that need to be managed, tracked and reported, including:
• procedures for the identification and management of incidents 
• procedures for the resolution of confirmed incidents
• key incident response systems
• incident coordination and communication strategy
• contact method for internal parties to report incidents
• support team contact information
• notification to relevant management in the event of a security breach
• provisions for updating and communicating the plan
• provisions for training of support team
• preservation of incident information
• management review and approval, annually, or when major changes to the organization occur",X,"17.1
17.4
17.8
17.9"
IR-02,Incident Response,Incident Response Testing,Organization tests incident response processes on an annual basis. Results from the tests are documented.,X,17.7
IR-03,Incident Response,Incident Response,"Confirmed incidents are assigned a priority level and managed to resolution. If applicable, Organization coordinates the incident response with business contingency activities.",X,17.9
IR-04,Incident Response,External Communication of Incidents,"Organization defines external communication requirements for incidents, including:
• information about external party dependencies
• criteria for notification to external parties as required by Organization policy in the event of a security breach
• contact information for authorities (e.g., law enforcement, regulatory bodies, etc.)
• provisions for updating and communicating external communication requirement changes",X,"17.2
17.6"
IR-05,Incident Response,Incident Reporting Contact Information,"Organization provides a contact method to:
• submit complaints and inquiries
• report incidents",X,17.3
IR-06,Incident Response,Incident External Communication,Organization communicates a response to external stakeholders as required by the Incident Response Plan.,X,"17.4
17.6"
IR-07,Incident Response,External Communication of Incidents: Protected Health Information,"Organization communicates the discovery and status of the breach of Protected Health Information (PHI) to the covered entity within 60 days or as required by the Business Associates Agreement (BAA) and provides the following information if available:
• description of the Event
• description of the Information that was compromised
• identification of the Individuals whose PHI were compromised
• steps Required to Protect Individuals
• investigation Plan
• contact Information",,
IR-08,Incident Response,Problem Management,Organization resolves customer support inquiries.,,
MDM-01,Mobile Device Management,Mobile Device Enrollment,"Mobile devices (i.e., laptops, smartphones, tablets) must be configured with the appropriate Mobile Device Management (MDM) profile when used as a medium to access Organization internal resources.",X,"1.1
4.11
4.12"
MDM-02,Mobile Device Management,Mobile Device Encryption,"Mobile devices (i.e., laptops, smartphones, tablets) that are used to access data from Organization internal resources are encrypted.",X,"3.6
3.9"
MDM-03,Mobile Device Management,Configuration Management: Mobile Devices,"Organization Mobile devices (i.e., laptops, smartphones, tablets) are configured to ensure unnecessary hardware capabilities and functionalities are disabled, and management defined security features are enabled.",X,"4.3
4.8"
MDM-04,Mobile Device Management,Configuration Management: High Risk Travel Locations,"Organization has a documented list of travel locations considered high risk for the use of mobile devices (i.e., laptops, smartphones, tablets). Employees procure alternate equipment before traveling to these locations.",,
NO-01,Network Operations,Network Policy Enforcement Points,Network traffic to and from untrusted networks passes through a policy enforcement point; firewall rules are established in accordance with identified security requirements and business justifications.,X,"4.4
4.5
12.5"
NO-02,Network Operations,Inbound and Outbound Network Traffic: DMZ Requirements,Network traffic to and from untrusted networks passes through a Demilitarized Zone (DMZ).,,
NO-03,Network Operations,Ingress and Egress Points,"Organization maintains an inventory of ingress and egress points on the production network and performs the following for each: 
• inventory is reduced to the minimum possible level
• permitted ports, protocols and services are inventoried and validated
• documents security features that are implemented for insecure protocols",X,"4.5
4.6
12.1
12.2
12.6
13.9"
NO-04,Network Operations,Non-disclosure of Routing Information,Organization does not disclose private IP addresses and routing information to unauthorized parties.,,
NO-05,Network Operations,Dynamic Packet Filtering,"Where applicable, Organization enables dynamic packet filtering on the network.",X,"9.3
13.4
13.10"
NO-06,Network Operations,Firewall Rule Set Review,Network infrastructure rule sets are reviewed every 6 months.,,
NO-07,Network Operations,Ingress and Egress Points: Fail Secure,"The information system fails securely in the event of an operational failure of a boundary protection device.
",,
NO-08,Network Operations,Traffic Flow: Managed Proxy,Organization requires egress traffic initiated from within the Organization network to pass through a managed proxy.,X,13.10
NO-09,Network Operations,Domain Name Services Security Extensions (DNSSec),Organization establishes a DNSSec implementation standard and uses mechanisms to verify the DNS infrastructure for compliance.,X,"4.9
9.2"
NO-10,Network Operations,Email Spam Protection,"Organization has documented procedures and protection mechanisms in place to protect its information and information systems from spam and ensures that signature definitions are updated whenever new releases are available.
",X,"9.1
9.5
9.6"
NO-11,Network Operations,Denial of Service (DOS),"Organization implements a Denial of Service (DOS) protection plan, identifies threatening DOS attacks, and configures boundary protection devices according to the DOS plan.",,
NO-12,Network Operations,Trusted Connections,"All trusted connections are documented and approved by authorized personnel; management ensures the following documentation is in place prior to approval: 
• agreement with vendor
• security requirements
• nature of transmitted information",X,12.4
NO-13,Network Operations,Network Segmentation,Production environments are logically segregated from non-production environments.,X,16.8
NO-14,Network Operations,Card Processing Environment Segmentation,"Where applicable, Organization segregates the Primary Account Number (PAN) infrastructure including payment card collection devices; Organization limits access to the segregated environment to authorized personnel.",,
NO-15,Network Operations,Traffic Flow,"Organization documents the approved traffic flow at each managed interface and configures the managed interface accordingly. Exceptions to traffic flow are documented, reviewed periodically, and removed when there is no longer a business requirement.",X,12.4
NO-16,Network Operations,Disable Rogue Wireless Access Points,Organization employs mechanisms to detect and disable the use of unauthorized wireless access points.,,
NO-17,Network Operations,Wireless Access Points,Organization maintains an inventory of authorized wireless access points including a documented business justification.,,
NO-18,Network Operations,Authentication: Wireless Access Points,Organization restricts access to network services via wireless access points to authenticated users and services; approved wireless encryption protocols are required for wireless connections.,X,"12.5
12.6"
PR-01,People Resources,Background Checks,New hires are required to pass a background check as a condition of their employment.,,
PR-02,People Resources,Performance Management,Organization has established a check-in performance management process for on-going dialogue between managers and employees. Quarterly reminders are sent to managers to perform their regular check-in conversation.,,
