CCF ID,DOMAIN,NAME,Description,CIS Appliclibity,CIS ref
PR-03,People Resources,Hiring Process,Job candidates apply for roles that are listed on the Organization career portal; candidates are interviewed to determine their knowledge and competence for their prospective roles and compatibility with Organization values.,,
PR-04,People Resources,Organization Property Collection,"Upon employee termination, management is notified to collect Organization property from the terminated employee.
",,
PR-05,People Resources,Exit Interviews,"Upon employee termination, management conducts exit interviews for the terminated employee.",,
PR-06,People Resources,Disciplinary Process,Employees that fail to comply with Organization policies are subject to a disciplinary process.,,
PR-07,People Resources,Code of Ethics,Organization has a Code of Ethics for Senior Officers. The Senior Officers and CEO certify that they understand the Code on an annual basis.,,
PR-08,People Resources,Business Ethics Hotline,Organization has a business ethics hotline for employees and external parties to report ethical misconduct. Allegations are investigated and Organization will take appropriate action for confirmed violations. Hotline reports are reported to the Audit Committee on a quarterly basis.,,
PR-09,People Resources,National Security Clearance,"Organization conducts screening and rescreening of authorized personnel for roles that require national security clearances. For national security clearances; a reinvestigation is required during the 5th year for top secret security clearance, the 10th year for secret security clearance, and 15th year for confidential security clearance. In addition, for law enforcement and high impact public trust level, a reinvestigation is required during the 5th year.",,
PR-10,People Resources,Code of Business Conduct,"Organization has documented the Code of Business Conduct and Business Partner Code of Conduct, which are reviewed, updated if applicable, and approved by senior management annually.",,
PRIV-01,Privacy,Privacy Program,"Organization privacy policies for individuals, including relevant updates, are communicated on the public company website or on the internal corporate network.",,
PRIV-02,Privacy,Privacy Program Review,"On an annual basis, Organization performs a review of privacy practices to ensure the following:
• consent is obtained for users whose personal information (PI) is managed by Organization
• PI inventory integrity and accuracy
• data access request response template is understandable
• standard agreement templates are up-to-date
• requests to delete, access or update PI are processed accurately and within a timeframe consistent with Organization policy
• compliance with Organization's privacy commitments
• known privacy issues are remediated
• opt-in and opt-out compliance with applicable law
• Organization privacy documentation and practices are relevant to applicable law
• compliance with relevant industry Codes of Conduct (e.g., EDAA)
• if applicable, joint controller responsibilities are clearly defined and communicated to both data controllers and the data subject",,
PRIV-03,Privacy,Privacy Readiness Review,Organization performs privacy readiness reviews to identify high-risk processing activities that impact personal data; identified non-compliance with Organization privacy practices is tracked through remediation.,,
PRIV-04,Privacy,Privacy Notice,"Individuals are given appropriate notice and an opportunity to consent or decline to Organization privacy practices such as accessing, collecting, processing, transferring, or storing personal information.",,
PRIV-05,Privacy,Personal Information Notice and Consent: Additional Processing Activities,"Where appropriate, Organization obtains individual consent for processing activities for which consent has not been previously obtained.",,
PRIV-06,Privacy,Notice of Personal Information Disclosure,"In accordance with Organization policy, Organization provides notice to individuals regarding legally-required disclosures of personal information.",,
PRIV-07,Privacy,PII Processing Agreements,Personal information is handled and processed in accordance with contractual requirements.,,
PRIV-08,Privacy,Record of Processing Activity,"Organization documents, reviews, and approves a record of processing activities related to personal information.",,
PRIV-09,Privacy,Document Management Standard: HIPAA,"Documentation that impacts personal health information, including policies, procedures, and the documentation of actions, activities, or assessments, are retained for 6 years from the date of its creation, or the date when it last was in effect, whichever is later.",,
PRIV-10,Privacy,Law Enforcement Requests,Law enforcement agencies may submit requests for evidence; submitted requests are reviewed and tracked to resolution.,,
PS-01,Proactive Security,Endpoint Detection and Response,"Endpoint Detection and Response (EDR) software is deployed to continuously monitor, detect, and respond to cyber threats and patterns of malicious behavior and activity.",X,"13.2
13.7"
PS-02,Proactive Security,Threat Hunting,"Organization performs threat hunting to identify, track, and disrupt threats that evade existing security controls.",,
PS-03,Proactive Security,Threat Modeling,Organization performs periodic threat modeling to ensure that potential threats are identified and assessed.,X,16.14
PS-04,Proactive Security,Adversary Intelligence,Organization gathers intelligence on adversary personas to assist in the prioritization of security activities.,,
RM-01,Risk Management,Service Risk Rating Assignment,"Annually, Organization prioritizes the frequency of vulnerability discovery activities based on an assigned service risk rating.",,
RM-02,Risk Management,Risk Assessment,Organization management performs an annual risk assessment. Results from risk assessment activities are reviewed to prioritize mitigation of identified risks.,,
RM-03,Risk Management,Risk Assessment: HIPAA Criteria,"Organization's periodic risk assessment for systems that process, transmit or store Protected Health Information (PHI) includes the following:
• identify and classify assets
• identify threats
• identify vulnerabilities
• identify controls
• perform threat likelihood analysis
• perform threat impact analysis
• identify residual risk
• identify appropriate safeguards",,
RM-04,Risk Management,Continuous Monitoring,The design and operating effectiveness of internal controls are continuously evaluated against the established Common Controls Framework by Organization. Corrective actions related to identified deficiencies are tracked to resolution.,,
RM-05,Risk Management,Self-Assessments: PCI,"On a quarterly basis, reviews shall be performed with approved documented specification to confirm personnel are following security policies and operational procedures pertaining to:
• daily log reviews
• firewall rule-set reviews
• applying configuration standards to new systems
• responding to security alerts
• change management processes",,
RM-06,Risk Management,Internal Audits,Organization establishes internal audit requirements based on the Common Controls Framework by Organization and executes audits on information systems and processes at planned intervals.,,
RM-07,Risk Management,ISMS Internal Audit Requirements,Internal audit establishes and executes a plan to evaluate applicable controls in the Information Security Management System (ISMS) at least once every 3 years.,,
RM-08,Risk Management,Remediation Tracking,Management prepares a remediation plan to formally manage the resolution of findings identified in risk assessment activities.,X,16.3
RM-09,Risk Management,ISMS Corrective Action Plans,Management prepares a Corrective Action Plan (CAP) to manage the resolution of nonconformities identified in independent audits.,,
RM-10,Risk Management,Statement of Applicability,"Management prepares a statement of applicability that includes control objectives, implemented controls, and business justification for excluded controls. Management aligns the statement of applicability with the results of the annual risk assessment. ",,
SDD-01,System Design Documentation,System Documentation,Documentation of system boundaries and key aspects of their functionality are published to authorized Organization personnel on the Organization intranet.,X,3.8
SDD-02,System Design Documentation,Whitepapers,"Organization publishes whitepapers to its public website that describe the purpose, design and boundaries of the system and system components.",,
SG-01,Security Governance,Policy and Standard Review,"Organization's policies and standards are periodically reviewed, approved by management, and communicated to Organization personnel.",X,"7.1
11.1
12.4
18.1"
SG-02,Security Governance,Exception Management,"Organization reviews exceptions to policies, standards and procedures; exceptions are documented and approved based on business need and removed when no longer required.",X,2.2
SG-03,Security Governance,Document Control,"Organization's document management criteria is periodically reviewed, approved by management, and communicated to authorized personnel; management determines the treatment and retention of documentation according to legal and regulatory requirements.",,
SG-04,Security Governance,Information Security Program Content,"The Chief Security Officer conducts a periodic staff meeting to communicate and align on relevant security threats, program performance, and resource prioritization. ",,
SG-05,Security Governance,Procedures,Organization's key control capabilities are supported by documented procedures that are communicated to authorized personnel.,,
SG-06,Security Governance,Proprietary Rights Agreement,Organization regular employees consent to a proprietary rights agreement.,,
SG-07,Security Governance,Review of Confidentiality Agreements,The Organization Proprietary Rights Agreement and Organization Network Access Agreement are reviewed on a periodic basis.,,
SG-08,Security Governance,Information Security Program,Organization has an established security leadership team including key stakeholders in the Organization Information Security Program; goals and milestones for deployment of the information security program are established and communicated to the company through the periodic security all-hands meeting.,,
SG-09,Security Governance,Accessibility Program,Organization has an established accessibility leadership team including key stakeholders; goals and milestones for deployment of the accessibility program are established and communicated to the company.,,
SG-10,Security Governance,Information Security Management System Scope,Information Security Management System (ISMS) boundaries are formally defined in an ISMS scoping document.,,
SG-11,Security Governance,Security Roles and Responsibilities,Roles and responsibilities for the governance of Information Security within Organization are formally documented within the Information Security Management Standard and communicated on the Organization intranet.,X,17.5
SG-12,Security Governance,Security Roles and Responsibilities: Risk Designations,Organization defined security roles and responsibilities are assigned risk designations and reviewed at least once every three years.,X,17.5
SG-13,Security Governance,Security Roles and Responsibilities: PCI Compliance,Roles and responsibilities and a program charter for the governance of PCI DSS compliance within Organization are formally documented and communicated by management.,,
SG-14,Security Governance,Information Security Resources,Information systems security implementation and management are included as part of the budget required to support the Organization Security Program.,,
SG-15,Security Governance,Management Review,"The Information Security Management System (ISMS) steering committee conducts a formal management review of ISMS scope, risk assessment activities, control implementation, and audit results on an annual basis. ",,
SG-16,Security Governance,Enterprise Data Catalog,"Organization maintains an enterprise data catalog that encompasses key organizational data, environment metadata, and product information to facilitate continuous monitoring of the internal control environment. The enterprise data catalog is updated as part of the continuous monitoring process and upon the introduction of new service offerings and acquisitions.",X,3.2
SG-17,Security Governance,Software Usage Restrictions,Organization maintains software license contracts and monitors its compliance with usage restrictions.,X,"2.1
2.2
2.3
2.4
2.5
2.6"
SLC-01,Service Lifecycle,Service Lifecycle Workflow,"Major software releases are subject to the Service Life Cycle, which requires acceptance via Concept Accept and Project Plan Commit phases prior to implementation.",X,"16.1
16.2
16.10"
SLC-02,Service Lifecycle,Source Code Management,Source code is managed with Organization-approved version control mechanisms.,X,"2.7
4.6
12.3"
SLC-03,Service Lifecycle,Secrets in Code,Organization manages source code secrets in a centralized repository; secrets are rotated at least annually and immediately if the security of secrets is compromised. ,,
SLC-04,Service Lifecycle,Project Budget Approval,"Approval for project initiation and budget is obtained from IT management and business owners.
",,
SLC-05,Service Lifecycle,Project Scope Change,"Changes to finalized project scope and requirements require the review and approval from the business team and project manager.
",,
SLC-06,Service Lifecycle,Information System Operation Authorization,"Senior management authorizes the operation of new information systems, based on security and business requirements, prior to implementation. The information system authorization is refreshed every 3 years or when significant change occurs.",,
SLC-07,Service Lifecycle,System Acquisition Approval,"Information system acquisitions require approval from authorized personnel based on verification of the following documented evidence:
• security function, strength, and assurance requirements
• requirements for protecting security-related documentation
• system development and test requirements
• acceptance criteria for releases
• enumeration of Security controls
• security control implementation and monitoring requirements
• components are FIPS-201 approved",X,16.11
SM-01,Systems Monitoring,Audit Logging,Organization logs critical information system activity.,X,"1.4
3.14
8.1
8.2
8.5
8.12
13.6"
SM-02,Systems Monitoring,Secure Audit Logging,Organization logs critical information system activity to a secure repository. Organization disables administrators ability to delete or modify enterprise audit logs; the number of administrators with access to audit logs is limited.,X,"8.2
8.5
8.6
8.7
8.8
8.9
8.12
12.5"
SM-03,Systems Monitoring,Audit Logging: Cardholder Data Environment Activity,"Organization logs the following activity for cardholder data environments:
• individual user access to cardholder data
• administrative actions
• access to logging servers
• failed logins
• modifications to authentication mechanisms and user privileges
• initialization, stopping, or pausing of the audit logs
• creation and deletion of system-level objects
• security events
• logs of all system components that store, process, transmit, or could impact the security of cardholder data (CHD) and/or sensitive authentication data (SAD)
• logs of all critical system components
• logs of all servers and system components that perform security functions (e.g., firewalls, intrusion-detection systems/intrusion-prevention systems (IDS/IPS), authentication servers, e-commerce redirection servers, etc.)",,
SM-04,Systems Monitoring,Audit Logging: Cardholder Data Environment Event Information,"Organization records the following information for confirmed events in the cardholder data environment:
• user identification
• type of event
• date and time
• event success or failure indication
• origination of the event
• identification of affected data, system component, or resource",X,8.1
SM-05,Systems Monitoring,Audit Logging: Service Provider Logging Requirements,"Organization establishes unique logging and audit trails for each entity's cardholder data environment and complies with the following:
• logs are enabled for third-party applications
• logs are active by default
• logs are available for review by and communicated to the owning entity",,
SM-06,Systems Monitoring,Configuration Management: Remote Logging,"Where applicable, devices are configured to send audit log data to a remote server",,
SM-07,Systems Monitoring,Chain of Accountability,Organization implements audit trails to link authentication events to individuals users in production systems.,,
SM-08,Systems Monitoring,Audit Record Time Stamps,Organization records time stamps for audit records that can be mapped to a centralized time source.,,
SM-09,Systems Monitoring,Log Reconciliation: CMDB,Organization reconciles the established device inventory against the enterprise log repository on a quarterly basis; devices which do not forward log data are remediated.,X,8.9
SM-10,Systems Monitoring,Audit Log Capacity and Retention,Organization allocates audit record storage capacity in accordance with logging storage and retention requirements; Audit logs are retained for 1 year with 90 days of data immediately available for analysis.,X,"8.1
8.3
8.9
8.10"
SM-11,Systems Monitoring,Enterprise Antivirus Logging,"If applicable, Organization's managed enterprise antivirus deployments generate audit logs which are retained for 1 year with 90 days of data immediately available for analysis.",X,8.10
SM-12,Systems Monitoring,Security Monitoring Alert Criteria,"Organization defines security monitoring alert criteria, how alert criteria will be flagged, and identifies authorized personnel for flagged system alerts.",X,"13.1
13.11"
SM-13,Systems Monitoring,Security Monitoring Alert Criteria Review,Organization reviews security monitoring alert on an annual basis.,X,8.1
SM-14,Systems Monitoring,Log-tampering Detection,Organization monitors and flags tampering to the audit logging and monitoring tools in the production environment.,X,13.1
SM-15,Systems Monitoring,Unauthorized Devices Addition,"Unauthorized devices connected to the Organization Network are:
• detected within a maximum of five minutes, and
• the unauthorized device is disabled, or a notification is sent to authorized Organization personnel",X,"12.5
13.6"
SM-16,Systems Monitoring,"Security Monitoring Alert Criteria: Guest, Anonymous and Temp Accounts","Organization defines security monitoring alert criteria for the use of guest, anonymous, and temporary accounts on Organization's network.",,
SM-17,Systems Monitoring,Security Monitoring Alert Criteria: VoIP Usage,Organization defines security monitoring alert criteria to detect deviations from Voice over IP (VoIP) activity standards.,,
SM-18,Systems Monitoring,Prohibited Activity Monitoring: Remote Access,Remote sessions are monitored for prohibited activity.,,
SM-19,Systems Monitoring,Prohibited Activity Monitoring: Client Run Time Technologies,Organization monitors and flags the use of prohibited client run time technologies on information systems.,,
SM-20,Systems Monitoring,Security Monitoring Alert Criteria: Wireless Access Point,Organization defines security monitoring alert criteria for attack attempts against wireless access points.,,
SM-21,Systems Monitoring,Security Monitoring Alert Criteria: Failed Logins,Organization defines security monitoring alert criteria for failed login attempts on Organization's network.,,
SM-22,Systems Monitoring,Security Monitoring Alert Criteria: Privileged Functions,Organization defines security monitoring alert criteria for privileged functions executed by both authorized and unauthorized users.,,
SM-23,Systems Monitoring,Security Monitoring Alert Criteria: Audit Log Integrity,Organization defines security monitoring alert criteria for changes to the integrity of audit logs.,,
SM-24,Systems Monitoring,Security Monitoring Alert Criteria: Cardholder System Components,"Organization defines security monitoring alert criteria for system components that store, process, transmit, or could impact the security of cardholder data and/or sensitive authentication data.",,
SM-25,Systems Monitoring,System Security Monitoring,Critical systems are monitored in accordance with predefined security criteria and alerts are sent to authorized personnel. Confirmed incidents are tracked to resolution.,,
SM-26,Systems Monitoring,Intrusion Detection Systems,"Organization has an Intrusion Detection System (IDS) or Intrusion Prevention System (IPS) deployment(s) and ensures the following:
• signature definitions are updated including the removal of false positive signatures
• non-signature based attacks are defined
• IDS/IPS are configured to capture malicious (both signature and non-signature based) traffic
• alerts are reviewed and resolved by authorized personnel when malicious traffic is detected",X,"8.11
13.3
13.8"
SM-27,Systems Monitoring,System Monitoring Legal Opinion,Organization obtains legal opinion with regard to monitoring activities in accordance with applicable requirements and mandates.,,
SM-28,Systems Monitoring,Privileged Session Monitoring,Organization monitors trusted data environments for unauthorized logical access connections. ,,
SM-29,Systems Monitoring,Availability Monitoring Alert Criteria,"Organization defines availability monitoring alert criteria, how alert criteria will be flagged, and identifies authorized personnel for flagged system alerts.",,
SM-30,Systems Monitoring,Availability Monitoring Alert Criteria Review,Organization reviews availability monitoring alert criteria on an annual basis.,,
SM-31,Systems Monitoring,System Availability Monitoring,Critical systems are monitored in accordance with predefined availability criteria and alerts are sent to authorized personnel.,,
SM-32,Systems Monitoring,Remote Access: Activity Log Audit,Logs from remote sessions are audited for prohibited activity on a weekly basis.,X,8.11
SO-01,Site Operations,Secured Facility,"Physical access to restricted areas of the facility is protected by walls with non-partitioned ceilings, secured entry points, and/or manned reception desks.",,
SO-02,Site Operations,Physical Protection and Positioning of Cabling,"Organization power and telecommunication lines are protected from interference, interception, and damage.",,
SO-03,Site Operations,Global Coordination of Critical Functions: Information Security Safeguards,Organization consistently applies information security safeguards in datacenters and campuses.,,
SO-04,Site Operations,Provisioning Physical Access,"Physical access provisioning to an Organization datacenter requires management approval and documented specification of: 
• account type (e.g., standard, visitor, or vendor)
• access privileges granted
• intended business purpose
• visitor identification method, if applicable
• temporary badge issued, if applicable
• access start date
• access duration",,
SO-05,Site Operations,De-provisioning Physical Access,"Physical access that is no longer required in the event of a termination or role change is revoked. If applicable, temporary badges are returned prior to exiting facility.",,
SO-06,Site Operations,Periodic Review of Physical Access,Organization performs physical account and access reviews on a quarterly basis; corrective action is taken where applicable.,,
SO-07,Site Operations,Physical Access Role Permission Authorization,"Initial permission definitions, and changes to permissions, associated with physical access roles are approved by authorized personnel.",,
SO-08,Site Operations,Monitoring Physical Access,Intrusion detection and video surveillance are installed at Organization datacenter locations; confirmed incidents are documented and tracked to resolution.,,
SO-09,Site Operations,Surveillance Feed Retention,Surveillance feed data is retained for 90 days.,,
SO-10,Site Operations,Visitor Access,"Physical access for visitors is managed through monitoring, maintaining records, escorting, and reviewing access monthly. Visitor access records to the facilities are kept for at least a year.",,
SO-11,Site Operations,Physical Access Devices,"Physical access devices (i.e., keys, combinations, access cards, etc.) are maintained through an inventory and restricted to authorized individuals. Appropriate devices are rotated when compromised or upon employee termination or transfer.",,
SO-12,Site Operations,Temperature and Humidity Control,Temperature and humidity levels of datacenter environments are monitored and maintained at appropriate levels.,,
SO-13,Site Operations,Fire Suppression Systems,Emergency responders are automatically contacted when fire detection systems are activated; the design and function of fire detection and suppression systems are maintained at appropriate intervals.,,
SO-14,Site Operations,Power Failure Protection,Organization employs uninterruptible power supplies (UPS) and generators to support critical systems in the event of a power disruption or failure. The design and function of relevant equipment is certified at appropriate intervals.,,
SO-15,Site Operations,Emergency Shutoff,Organization employs emergency power shut-off capabilities. Access to shut off power is restricted to authorized individuals.,,
SO-16,Site Operations,Emergency Lighting,Organization employs emergency lighting in the event of a power disruption or failure. The design and function of relevant equipment is certified at appropriate intervals.,,
TA-01,Training and Awareness,General Security Awareness Training,"Organization personnel complete security awareness training, which includes annual updates about relevant policies and how to report security events to the authorized response team. Records of training completion are documented and retained for tracking purposes.",X,"14.1
14.2
14.3
14.4
14.5
14.6
14.7
14.8"
TA-02,Training and Awareness,Code of Conduct Training,Organization full-time and temporary employees and interns complete a code of business conduct training.,X,"14.2
14.3
14.4
14.5
14.7
14.8"
TA-03,Training and Awareness,Accessibility Training,"Organization personnel complete accessibility awareness training, which includes annual updates about relevant policies and how to report accessibility events internally. Records of training completion are documented and retained for tracking purposes.",,
TA-04,Training and Awareness,Phishing Awareness,Organization performs periodic phishing campaigns.,X,9.5
TA-05,Training and Awareness,Developer Security Training,Organization's software engineers are required to complete training based on secure coding techniques on an annual basis.,X,"14.9
16.9"
TA-06,Training and Awareness,Payment Card Processing Security Awareness Training,"Organization personnel that interact with cardholder data systems receive awareness training to be aware of attempted tampering or replacement of devices. Training should include the following:
• verify the identity of third-party persons claiming to be repair or maintenance personnel, prior to granting them access to modify or troubleshoot devices.
• do not install, replace, or return devices without verification
• be aware of suspicious behavior around devices (e.g., attempts by unknown persons to unplug or open devices)
• report suspicious behavior and indications of device tampering or substitution to authorized personnel (e.g., to a manager or security officer)",X,14.9
TA-07,Training and Awareness,Role-based Security Training: HIPAA,Organization personnel with access to personal health information (PHI) are required to attend and complete HIPAA privacy training.,X,14.9
TA-08,Training and Awareness,Role-based Security Training,"Organization personnel with key security responsibilities complete relevant role-based training on an annual basis:
• personnel must complete training prior to obtaining access to privileged security systems
• personnel with contingency responsibilities must complete role-based training within 10 days of assuming the role
• records of training completion are documented and retained for tracking purposes",X,14.9
TA-09,Training and Awareness,Security Champion Training,"Service teams select a ""Security Champion"" to ensure security engagement responsibilities are assigned and tracked to completion; Security Champions receive training on how to execute responsibilities.",X,14.9
TPM-01,Third-Party Management,Third-Party Assurance Review,"On a periodic basis, management reviews controls within third-party assurance reports to ensure that they meet organizational requirements; if control gaps are identified in the assurance reports, management takes action to address impact the disclosed gaps have on the organization.",X,"15.5
15.6"
TPM-02,Third-Party Management,Vendor Risk Management,Organization performs a risk assessment to determine the data types that can be shared with a managed service provider.,X,15.3
TPM-03,Third-Party Management,Forensic Investigations,Organization enables procedures to conduct a forensic investigation in the event that a hosted merchant or service provider is compromised.,,
TPM-04,Third-Party Management,Privacy Risk Assessment,"Organization reviews the privacy practices of service providers who access, collect, process, transfer, or store personal information on Organization's behalf upon initial procurement and renewal; non-compliance is tracked through remediation.",,
TPM-05,Third-Party Management,Network Access Agreement: Vendors,Third-party entities which gain access to the Organization network sign a network access agreement.,,
TPM-06,Third-Party Management,Vendor Non-disclosure Agreements,"Agency temporary workers, independent contractors, and third-party entities consent to a non-disclosure clause.",X,15.4
TPM-07,Third-Party Management,Cardholder Data Security Agreement,"Organization managed service providers that manage, store, or transmit cardholder data on behalf of the customer must provide written acknowledgement to customers of their responsibility to protect cardholder data and the cardholder data environment.",,
TPM-08,Third-Party Management,HIPAA Business Associate Agreement,"Organization Business Associate Agreements must contain provisions for the following:
• permitted uses and disclosures of Protected Health Information (PHI)
• PHI safeguards to prevent unauthorized use or disclosure
• communications regarding the unauthorized use or disclosure of PHI
• PHI availability
• contract termination and disposition of PHI",,
TPM-09,Third-Party Management,HIPAA Business Associate Subcontractor Agreement,"Organization requires a Business Associate Subcontractor Agreement with Business Associates from which it receives or transmits protected health information (PHI); Business Associates under contract are required to provide assurance that they adhere to Organization's security standards, which includes the security of PHI and reporting security events that potentially expose PHI.",,
TPM-10,Third-Party Management,Network Service Level Agreements (SLA),Vendors providing networking services to Organization are contractually bound to provide secure and available services as documented in SLAs.,X,15.4
TPM-11,Third-Party Management,Personal Information Processing and Transfer Agreement,"Appropriate data processing and transfer agreements are established for the collection, processing, transfer, or storage of personal information by, or on behalf of, Organization.",X,15.4
TPM-12,Third-Party Management,Approved Service Provider Listing,Organization maintains a list of approved managed service providers and the services they provide to Organization.,X,15.1
TPM-13,Third-Party Management,Vendor Information Security Standard,Organization has documented a Vendor Information Security Standard that defines the responsibilities and governance requirements regarding vendor information security engagements. Contractual agreements are entered into with vendors who process or store Organization data that define information Security terms and service level agreements.,X,"15.2
15.4"
VM-01,Vulnerability Management,Vulnerability Scans,Organization conducts vulnerability scans against the production environment; scan tools are updated prior to running scans.,X,"7.5
7.6"
VM-02,Vulnerability Management,Vulnerability Scans: Cardholder Data Environment,Vulnerability scans are conducted against cardholder environments at least quarterly or after significant change; critical vulnerability resolution is confirmed via a rescan.,,
VM-03,Vulnerability Management,Vulnerability Scans: Audit Log Review,"When vulnerabilities are identified, Organization analyzes audit logs to see if it has been previously exploited. Identified exploitations are resolved through incident management.",X,18.4
VM-04,Vulnerability Management,Vulnerability Scans: Trend Analysis,"Organization reviews vulnerability trends over time to include in risk assessments; high and moderate risk vulnerabilities are remediated in 30 and 90 days, respectively.",X,18.4
VM-05,Vulnerability Management,Approved Scanning Vendor,"At least quarterly, Organization engages an Approved Scanning Vendor to conduct external vulnerability scans.",,
VM-06,Vulnerability Management,Application Penetration Testing,Organization conducts penetration tests periodically.,X,"16.13
18.1
18.2
18.5"
VM-07,Vulnerability Management,Application Penetration Testing: Cardholder Data Environment,"Organization conducts penetration tests against cardholder data environments (CDE) and includes the following requirements:
• testing covers the entire CDE perimeter and critical data systems
• testing verifies that CDE perimeter segmentation is operational
• testing is performed from both inside and outside the CDE network
• testing validates segmentation and scope-reduction controls (e.g., tokenization processes)
• network layer penetration tests include components that support network functions as well as operating systems 
• at the application level, testing provides coverage, at a minimum, against the security testing requirements defined in VM-05-01 (01)
• testing is performed with consideration of threats verified in the last 12 months from external alerts, directives, and advisories defined in VM-06-02
• testing is performed with consideration of vulnerabilities reported through Organization's PSIRT process within the last 12 months
• risk ratings are assigned to discovered vulnerabilities, which are tracked through remediation",,
VM-08,Vulnerability Management,Infrastructure Patch Management,"Organization installs security-relevant patches, including software or firmware updates; identified end-of-life software must have a documented decommission plan in place.",X,"7.3
7.4"
VM-09,Vulnerability Management,Enterprise Antivirus,Organization has managed enterprise antivirus deployments to detect and respond to malicious activities.,X,"9.7
10.1
10.2
10.3
10.4
10.6
10.7"
VM-10,Vulnerability Management,Enterprise Antivirus Tampering,Antivirus mechanisms cannot be disabled or altered by users unless specifically authorized by management.,,
VM-11,Vulnerability Management,Enterprise Antivirus Scope,Vulnerability scans are periodically performed on systems that do not require anti-virus; management determines if anti-virus should be required on the system based on scan results and associated risk.,,
VM-12,Vulnerability Management,Maintenance Tools: Inspect Media,Organization checks media containing diagnostic and test programs for malicious code before the media are used in production systems.,,
VM-13,Vulnerability Management,Code Security Check,Organization conducts periodic source code checks for vulnerabilities.,X,16.12
VM-14,Vulnerability Management,Code Security Check: Cardholder Data Environment,"Where applicable, security testing performed prior to releasing code into production includes the following:
• code injection
• buffer overflows
• insecure cryptographic storage
• insecure communications
• improper error handling
• high-risk vulnerabilities
• cross-site scripting
• improper access control
• cross-site request forgery
• broken authentication session management",X,16.12
VM-15,Vulnerability Management,Third-Party Library Check,Organization scans third-party libraries for vulnerabilities according to the service risk rating assignment.,X,16.5
VM-16,Vulnerability Management,Non-disclosure of Error Detail,Information systems are designed to ensure error messages generated provide adequate information for taking corrective action without revealing sensitive information.,,
VM-17,Vulnerability Management,Embedded Authenticators,"Quality Engineering checks to ensure that static passwords are not embedded within application source code or access scripts, prior to deployment on the Organization network.",,
VM-18,Vulnerability Management,External Information Security Inquiries,"Organization reviews information-security-related inquiries, complaints, and disputes.",,
VM-19,Vulnerability Management,External Alerts and Advisories,Organization reviews alerts and advisories from management approved security forums and communicates verified threats to authorized personnel.,,
VM-20,Vulnerability Management,Third-Party Security Assessment,Organization engages qualified managed service providers to perform independent information security assessments.,,
VM-21,Vulnerability Management,Security Testing Window,Security administrators notify relevant parties prior to executing technical security assessments; assessment details and results are documented in a ticket.,,
VM-22,Vulnerability Management,Vulnerability Remediation,Organization assigns a risk rating to identified vulnerabilities and prioritizes remediation of legitimate vulnerabilities according to the assigned risk.,X,"7.2
7.7
16.2
16.6
18.3"
VM-23,Vulnerability Management,Backlog Prioritization,"Organization documents identified bugs, prioritize bug fixes according to risk, and tracks resolution as part of the product release cycle.",X,"7.2
7.7
16.2"
